url_hash,url,run_id,category,category_hierarchy,name,brand,sku,price,unit_pack_size,availability,description,specifications,image_urls,alternative_products,extraction_method,scraped_at
d8ded666ceae245dd3012d052a882713351329697673c51271802a4a9785011d,https://www.safcodental.com/product/true-comfort-reg-blu#4680073,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Chloroprene gloves""]",Dash True Comfort Blu large 100/box,Dash,4680073,$19.49,100/box,In stock,"Powder-free, latex-free, chloroprene examination gloves.","{""Brand"": ""Dash"", ""Color"": ""Blu"", ""Material"": ""Chloroprene"", ""Type"": ""Examination Gloves"", ""Powder-free"": ""Yes"", ""Latex-free"": ""Yes""}","[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:53.792682
fdf0615bfed030e8cb68fee235e9d8f7334842f0d1b0d38a570851e9e2cc63c8,https://www.safcodental.com/product/true-comfort-reg-blu#4680071,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Chloroprene gloves""]",Dash True Comfort Blu medium 100/box,Dash,4680071,$19.49,100/box,In stock,"Powder-free, latex-free, chloroprene examination gloves.","{""Material"": ""Chloroprene"", ""Powder-free"": ""Yes"", ""Latex-free"": ""Yes""}","[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:53.868894
a292017ed277fe9be2264830e2872008938402877b78a74fac1e49f3a2c0fa92,https://www.safcodental.com/product/true-comfort-reg-blu#4680069,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Chloroprene gloves""]",Dash True Comfort Blu small 100/box,Dash,4680069,$19.49,100/box,In stock,"Powder-free, latex-free, chloroprene examination gloves.","{""Brand"": ""Dash"", ""SKU"": ""4680069"", ""Product Type"": ""Dental Exam Gloves""}","[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:53.705637
98fdb4d3cbe74223686a844fe5c9d6e12766644ea183ee9deee4b6de5455e36f,https://www.safcodental.com/product/true-comfort-reg-blu#4680075,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Chloroprene gloves""]",Dash True Comfort Blu x-large 100/box,Dash,4680075,$19.49,100/box,In stock,"Powder-free, latex-free, chloroprene examination gloves.","{""Brand"": ""Dash"", ""SKU"": ""4680075"", ""Category"": ""Dental Exam Gloves""}","[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]","[""https://www.safcodental.com/product/true-comfort-reg-blu#4680067"", ""https://www.safcodental.com/product/true-comfort-reg-blu#4680069"", ""https://www.safcodental.com/product/true-comfort-reg-blu#4680071""]",algolia+tavily_llm,2026-04-24T04:33:57.271074
ab3c4ea3af56dc87d44bdfd417df5c995764fbd391741e4f10b3091f12cde37e,https://www.safcodental.com/product/true-comfort-reg-blu#4680067,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Chloroprene gloves""]",Dash True Comfort Blu x-small 100/box,Dash,4680067,$19.49,100/box,In stock,"Powder-free, latex-free, chloroprene examination gloves.","{""size"": ""X-small"", ""brand"": ""Dash""}","[""https://www.safcodental.com/media/catalog/product/d/r/drdaq.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]","[""https://www.safcodental.com/product/true-comfort-reg-blu#4680069"", ""https://www.safcodental.com/product/true-comfort-reg-blu#4680071""]",algolia+tavily_llm,2026-04-24T04:33:54.729257
d6410b9afa5f0c6ad864b74ff3eb1192a1663e55eef5248c1f280e0ff28a4a42,https://www.safcodental.com/product/pulse-trade-latex#5380054,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Latex gloves""]",Pulse powder-free latex gloves large 100/box,Innovative Healthcare,5380054,$11.49,100/box,In stock,Powder-free latex exam gloves. Finish provides superior gripping ability. Excellent donning properties and comfort. Textured whole hand finish Beaded cuff Chlorinated Ambidextrous 50μg or less of latex protein Natural color,"{""Finish"": ""Textured whole hand"", ""Cuff"": ""Beaded"", ""Material"": ""Latex"", ""Glove Type"": ""Powder-free"", ""Ambidextrous"": ""Yes"", ""Latex Protein"": ""50\u03bcg or less"", ""Color"": ""Natural""}","[""https://www.safcodental.com/media/catalog/product/d/r/drbav.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:55.013850
30db30fe71f85f214b1e9ae7186f0eb809e094d6e6a96d5f83bfca936944c1b1,https://www.safcodental.com/product/pulse-trade-latex#5380047,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Latex gloves""]",Pulse powder-free latex gloves medium 100/box,Innovative Healthcare,5380047,$11.49,100/box,In stock,Powder-free latex exam gloves. Finish provides superior gripping ability. Excellent donning properties and comfort. Textured whole hand finish Beaded cuff Chlorinated Ambidextrous 50μg or less of latex protein Natural color.,"{""brand"": ""Innovative Healthcare"", ""sku"": ""5380047"", ""material"": ""latex"", ""type"": ""powder-free"", ""color"": ""natural"", ""glove_size"": ""medium"", ""protein_content"": ""50\u03bcg or less""}","[""https://www.safcodental.com/media/catalog/product/d/r/drbav.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:54.261229
afd8e934fc15f65c05a33858d03eb759b8bf1a0bfe6c5b4b54a149367ffddc4c,https://www.safcodental.com/product/pulse-trade-latex#5380035,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Latex gloves""]",Pulse powder-free latex gloves small 100/box,Innovative Healthcare,5380035,$11.49,100/box,In stock,Powder-free latex exam gloves. Finish provides superior gripping ability. Excellent donning properties and comfort. Textured whole hand finish Beaded cuff Chlorinated Ambidextrous 50μg or less of latex protein Natural color.,"{""Material"": ""Latex"", ""Powder-free"": ""Yes"", ""Textured"": ""Yes"", ""Cuff type"": ""Beaded"", ""Ambidextrous"": ""Yes"", ""Latex protein"": ""50\u03bcg or less"", ""Color"": ""Natural""}","[""https://www.safcodental.com/media/catalog/product/d/r/drbav.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:55.494515
0e624180d8e86aaf215c0b588e53e1574bf9c8de3944fda639471433d91502b3,https://www.safcodental.com/product/pulse-trade-latex#5380063,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Latex gloves""]",Pulse powder-free latex gloves x-large 100/box,Innovative Healthcare,5380063,$9.99,100/box,In stock,Powder-free latex exam gloves. Finish provides superior gripping ability. Excellent donning properties and comfort. Textured whole hand finish Beaded cuff Chlorinated Ambidextrous 50μg or less of latex protein Natural color.,"{""Finish"": ""Textured whole hand"", ""Cuff"": ""Beaded"", ""Latex Protein"": ""50\u03bcg or less"", ""Color"": ""Natural"", ""Ambidextrous"": ""Yes""}","[""https://www.safcodental.com/media/catalog/product/d/r/drbav.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:54.789476
f4d3b534c0f32282224802185eb915e3e5a263cfda4ab9dc6c822f8ee50d6e66,https://www.safcodental.com/product/pulse-trade-latex#5380034,8310ed19,Dental Exam Gloves,"[""Dental Supplies"", ""Dental Exam Gloves"", ""Latex gloves""]",Pulse powder-free latex gloves x-small 100/box,Innovative Healthcare,5380034,$11.49,100/box,Backorder,Powder-free latex exam gloves. Finish provides superior gripping ability. Excellent donning properties and comfort. Textured whole hand finish Beaded cuff Chlorinated Ambidextrous 50μg or less of latex protein Natural color.,"{""latex_protein"": ""50\u03bcg or less"", ""color"": ""Natural"", ""finish"": ""Textured whole hand"", ""cuff"": ""Beaded"", ""type"": ""Ambidextrous""}","[""https://www.safcodental.com/media/catalog/product/d/r/drbav.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds"", ""https://www.safcodental.com/media/catalog/product/placeholder/default/white-placeholder_6.jpg?optimize=medium&fit=bounds&height=75&width=75""]",[],algolia+tavily_llm,2026-04-24T04:33:54.048064
